Popex,Meaning
醉了,"literal: drunk; used as ""whatever"""
心塞,sad
拼,work hard
泥垢,"literal: mud; used as ""shut up"""
任性,capricious
萌,cute
哒,"particle, following other characters to form adjectives"
duang,"onomatopoeia, resembling the sound of collision"
小伙伴,little partner
卧槽,WTF
吐槽,complain
傻逼,idiot
牛逼,awesome
赞,"like (like the ""like"" button in Facebook)"
